Camara,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,Observation_B
2,unknown,Zone-PS2 Interior Izq,unknown,0,Exit,58f5b43b-2450-46b4-b2cd-4412e775772e,"mar 2, 2026 23:01:10",Bien,Mal,Mal,,
2,unknown,Zone-PS2 Interior Izq,Male,28,Enter,922e5323-bbb9-4fdf-b2d4-496821ea5432,"mar 2, 2026 23:03:08",Bien,Bien,Bien,,
2,unknown,Zone-PS2 Interior Izq,Male,28,Exit,922e5323-bbb9-4fdf-b2d4-496821ea5432,"mar 2, 2026 23:03:13",Bien,Bien,Bien,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Enter,ee4332d6-1cc3-45f3-9995-318ed99a023b,"mar 2, 2026 23:05:31",Bien,Mal,Mal,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Exit,ee4332d6-1cc3-45f3-9995-318ed99a023b,"mar 2, 2026 23:05:39",Bien,Mal,Mal,,
2,5df07f9e-2dce-4c01-9b35-46a466b6ec1d,Zone-PS2 Interior Izq,Female,45,Enter,625f7d0b-0f1f-4379-afac-a7dbe929eccc,"mar 2, 2026 23:05:40",Bien,Bien,Bien,,
2,b240ba85-7727-42b9-892f-80a88674f8e8,Zone-PS2 Interior Izq,Male,28,Enter,ce11ede3-d4a6-450f-8a3f-b72eb1faf618,"mar 2, 2026 23:07:01",Bien,Bien,Bien,,
2,5df07f9e-2dce-4c01-9b35-46a466b6ec1d,Zone-PS2 Interior Izq,Female,45,Exit,625f7d0b-0f1f-4379-afac-a7dbe929eccc,"mar 2, 2026 23:08:02",Bien,Bien,Bien,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Enter,b332dae9-fbe8-4241-8c21-8f69a8ce504e,"mar 2, 2026 23:08:03",Bien,Mal,Mal,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Exit,9e6ae51f-c4e8-4214-a734-c6a3f3552944,"mar 2, 2026 23:09:08",Bien,Mal,Mal,,
2,d0207959-7bc5-48e5-8c8b-4addca50ec07,Zone-PS2 Interior Izq,Female,28,Exit,588a453c-821c-4c05-b1b3-9f8038b15892,"mar 2, 2026 23:09:11",Bien,Bien,Bien,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Exit,b332dae9-fbe8-4241-8c21-8f69a8ce504e,"mar 2, 2026 23:09:13",Bien,Mal,Mal,,
2,b240ba85-7727-42b9-892f-80a88674f8e8,Zone-PS2 Interior Izq,Male,28,Exit,ce11ede3-d4a6-450f-8a3f-b72eb1faf618,"mar 2, 2026 23:09:24",Bien,Bien,Bien,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Enter,28568f5f-a9c9-41d7-a779-e244f5b94ffa,"mar 2, 2026 23:09:28",Bien,Mal,Mal,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Exit,28568f5f-a9c9-41d7-a779-e244f5b94ffa,"mar 2, 2026 23:09:34",Bien,Mal,Mal,Cambia de persona,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS1 Interior Der,Male,28,Enter,4e5e87de-7c9f-410c-bcaf-2b533f6cc505,"mar 2, 2026 23:13:03",Bien,Bien,Bien,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS1 Interior Der,Male,28,Exit,4e5e87de-7c9f-410c-bcaf-2b533f6cc505,"mar 2, 2026 23:13:35",Bien,Bien,Bien,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS1 Interior Der,Male,28,Enter,d451a78b-865d-4045-90a7-a2cab8c13cdf,"mar 2, 2026 23:13:50",Bien,Mal,Bien,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS1 Interior Der,Male,28,Exit,d451a78b-865d-4045-90a7-a2cab8c13cdf,"mar 2, 2026 23:14:03",Bien,Mal,Bien,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS2 Interior Izq,Female,45,Enter,eefeb23d-e054-45e5-b7a0-1855c905c8d5,"mar 2, 2026 23:16:47",Bien,Bien,Mal,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS2 Interior Izq,Female,45,Exit,eefeb23d-e054-45e5-b7a0-1855c905c8d5,"mar 2, 2026 23:16:54",Bien,Bien,Mal,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS2 Interior Izq,Male,28,Enter,a916f879-f578-4b65-9449-db37e6ec450a,"mar 2, 2026 23:19:20",Bien,Mal,Bien,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS2 Interior Izq,Male,28,Exit,a916f879-f578-4b65-9449-db37e6ec450a,"mar 2, 2026 23:19:25",Bien,Mal,Bien,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS1 Interior Der,Male,28,Enter,c37f5fc1-4334-4dc5-8075-5ea1fc3c52da,"mar 2, 2026 23:19:58",Bien,Mal,Bien,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS1 Interior Der,Male,28,Exit,c37f5fc1-4334-4dc5-8075-5ea1fc3c52da,"mar 2, 2026 23:20:30",Bien,Mal,Bien,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Enter,cdd9f27d-97a4-4a3a-9421-32a160944a05,"mar 2, 2026 23:22:39",Bien,Mal,Mal,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Exit,cdd9f27d-97a4-4a3a-9421-32a160944a05,"mar 2, 2026 23:23:53",Bien,Mal,Mal,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Enter,d3de9f4e-0da9-4d90-808f-30c968e0566f,"mar 2, 2026 23:23:54",Bien,Mal,Mal,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Exit,d3de9f4e-0da9-4d90-808f-30c968e0566f,"mar 2, 2026 23:24:16",Bien,Mal,Mal,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Enter,ee540a9b-358d-4b83-82f4-710153f51893,"mar 2, 2026 23:24:17",Bien,Mal,Mal,,
2,unknown,Zone-PS2 Interior Izq,unknown,0,Exit,ee540a9b-358d-4b83-82f4-710153f51893,"mar 2, 2026 23:24:56",Bien,Mal,Mal,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS2 Interior Izq,Male,28,Enter,971e7594-c55e-4f63-9d66-ce4052c3c8f2,"mar 2, 2026 23:25:18",Bien,Mal,Bien,,
2,9c36167f-db2d-4d8c-9eeb-d9fcb7f59999,Zone-PS2 Interior Izq,Male,28,Exit,971e7594-c55e-4f63-9d66-ce4052c3c8f2,"mar 2, 2026 23:25:47",Bien,Mal,Bien,,
