Camara,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,Observation_B
3,,Norte_3,,,,33a28882-1f77-4c85-b3f4-a72bca17e2ce,0:04:15,Mal,,,Evento no registrado,TRACK_ID desaparece
3,,Norte_3,,,,73a5,0:04:21,Mal,,,Evento no registrado,TRACK_ID desaparece
3,,Norte_3,,,,2306,0:04:52,Mal,,,Evento no registrado,TRACK_ID desaparece
3,,Norte_3,,,,b3d2,0:05:52,Mal,,,Evento no registrado,TRACK_ID desaparece
3,,Norte_2,,,,26f2,0:07:42,Mal,,,Evento no registrado,TRACK_ID desaparece
3,,Norte_3,,,,560f,0:08:42,Mal,,,Evento no registrado,TRACK_ID desaparece
3,,Norte_2,,,,4026,0:08:46,Mal,,,Evento no registrado,TRACK_ID desaparece
3,,Norte_3,,,,4628,0:42:38,Mal,,,Evento no registrado,TRACK_ID desaparece
3,,Norte_Fila,,,,N/A,0:28:01,Mal,,,Evento no registrado,Sin TRACK_ID
3,unknown,Norte_Fila,Female,28,Enter,c8771393-dcf3-4c86-90ee-38a23425fb7f,2026-03-11 00:28:41,Bien,,,,
3,unknown,Norte_Fila,Female,28,Exit,c8771393-dcf3-4c86-90ee-38a23425fb7f,2026-03-11 00:28:56,Bien,,,,TRACK_ID desaparece
3,,,,,,352a,0:35:51,Mal,,,Evento no registrado,TRACK_ID desaparece
3,,,,,,b605,0:35:53,Mal,,,Evento no registrado,TRACK_ID desaparece
4,,Fila_Cajas,,,Exit,f22c,0:00:01,Mal,,,Evento no registrado,
4,,Atencion_Cajas,,,Exit,a647,0:00:04,Mal,,,Evento no registrado,
4,,Atencion_Cajas,,,Exit,N/A,0:00:21,Mal,,,Evento no registrado,Sin TRACK_ID
4,,Atencion_Cajas,,,Enter,N/A,0:00:39,Mal,,,Evento no registrado,
4,,Atencion_Cajas,,,Enter,1309,0:00:52,Mal,,,Evento no registrado,TRACK_ID desaparece
4,,Atencion_Cajas,,,Enter,N/A,0:01:30,Mal,,,Evento no registrado,Sin TRACK_ID
4,,Atencion_Cajas,,,Enter,N/A,0:02:42,Mal,,,Evento no registrado,Sin TRACK_ID
