Camara,Tipo_sensor,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,
1,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Vitrina Interior,Female,0,Enter,0a652e30-abc0-41bf-8fa6-363bac20ba38,"Feb 24, 2026 11:24:46 PM",Bien,Bien,Mal,,
1,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Vitrina Interior,Female,0,Exit,0a652e30-abc0-41bf-8fa6-363bac20ba38,"Feb 24, 2026 11:24:51 PM",Bien,Bien,Mal,,
1,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Vitrina Interior,Female,0,Enter,7da1873d-c4fe-4e95-90a1-eb6fce780947,"Feb 24, 2026 11:26:41 PM",Bien,Bien,Mal,,
1,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 1,Female,0,Enter,7da1873d-c4fe-4e95-90a1-eb6fce780947,"Feb 24, 2026 11:26:48 PM",Bien,Bien,Mal,,
1,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Vitrina Interior,Female,0,Exit,7da1873d-c4fe-4e95-90a1-eb6fce780947,"Feb 24, 2026 11:26:48 PM",Bien,Bien,Mal,,
1,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 1,Female,0,Exit,7da1873d-c4fe-4e95-90a1-eb6fce780947,"Feb 24, 2026 11:27:19 PM",Bien,Bien,Mal,,
2,Zona_permanencia,02b7ca0f-0610-4d3f-98ba-2dfe473e6dd4,Interior 1,Female,0,Enter,30b5c717-92d6-4090-8c8f-1b810d62246c,"Feb 24, 2026 11:16:00 PM",Bien,Bien,Mal,,
2,Zona_permanencia,02b7ca0f-0610-4d3f-98ba-2dfe473e6dd4,Interior 1,Female,0,Exit,30b5c717-92d6-4090-8c8f-1b810d62246c,"Feb 24, 2026 11:16:05 PM",Bien,Bien,Mal,,
2,Zona_permanencia,400981b3-6b8a-4003-80cb-f7f96a01018d,Interior 1,Female,0,Enter,52b18bc1-aed1-4d1d-a684-02e97369f847,"Feb 24, 2026 11:28:20 PM",Bien,Bien,Mal,,
2,Zona_permanencia,400981b3-6b8a-4003-80cb-f7f96a01018d,Interior 1,Female,0,Exit,52b18bc1-aed1-4d1d-a684-02e97369f847,"Feb 24, 2026 11:28:26 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Estanteria Principal,Female,0,Exit,0f6564ad-2106-4015-9c68-8cbd915fb20d,"Feb 24, 2026 11:00:04 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Enter,40479e53-1b11-40e9-b3fa-dc3c7b47cc44,"Feb 24, 2026 11:00:12 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Exit,40479e53-1b11-40e9-b3fa-dc3c7b47cc44,"Feb 24, 2026 11:00:21 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Enter,40479e53-1b11-40e9-b3fa-dc3c7b47cc44,"Feb 24, 2026 11:00:34 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Exit,40479e53-1b11-40e9-b3fa-dc3c7b47cc44,"Feb 24, 2026 11:02:03 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Estanteria Principal,Female,0,Enter,b88db8f6-0ff9-414a-a083-5bf73d929488,"Feb 24, 2026 11:05:40 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Estanteria Principal,Female,0,Exit,b88db8f6-0ff9-414a-a083-5bf73d929488,"Feb 24, 2026 11:05:55 PM",Bien,Bien,Mal,,
