Identity_ID,Zona_name,,,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,Observation_B
unknown,Atencion_Club,,,Male,28,Enter,51e8ac64-5b7e-450f-8a7f-f70d71f74716,2026-03-11 00:03:14,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Enter,51e8ac64-5b7e-450f-8a7f-f70d71f74716,2026-03-11 00:03:21,Bien,Bien,Bien,,
unknown,Atencion_Club,,,Male,28,Exit,51e8ac64-5b7e-450f-8a7f-f70d71f74716,2026-03-11 00:03:21,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Exit,51e8ac64-5b7e-450f-8a7f-f70d71f74716,2026-03-11 00:03:46,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Enter,d7da18c5-f5cf-4a58-9633-71972980815c,2026-03-11 00:05:40,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Exit,d7da18c5-f5cf-4a58-9633-71972980815c,2026-03-11 00:07:06,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Enter,ce9b7ad1-8167-48f8-a9c9-65d274aa4e75,2026-03-11 00:09:22,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Exit,ce9b7ad1-8167-48f8-a9c9-65d274aa4e75,2026-03-11 00:09:43,Bien,Bien,Bien,,
,Atencion_Club,,,,,,8d33,0:11:04,Mal,,,Evento no registrado,TRACK_ID desaparece
,Atencion_Club,,,,,,15ad,0:11:04,Mal,,,Evento no registrado,TRACK_ID desaparece
,Atencion_Club,,,,,,d683,0:11:04,Mal,,,Evento no registrado,TRACK_ID desaparece
unknown,Fila_Club,,,Female,28,Enter,fbfd2f87-08bc-4b62-a5b3-16a1dd66b484,2026-03-11 00:11:49,Bien,Bien,Bien,,
unknown,Fila_Club,,,Female,28,Exit,fbfd2f87-08bc-4b62-a5b3-16a1dd66b484,2026-03-11 00:12:00,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Enter,fda8c251-820d-4f1a-b51a-9602f4ba015a,2026-03-11 00:14:25,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Exit,fda8c251-820d-4f1a-b51a-9602f4ba015a,2026-03-11 00:14:44,Bien,Bien,Bien,,
ad93ba12-d513-4f5f-9657-89f57c812d8a,Atencion_Club,,,Male,28,Enter,97bc4955-0cdc-469a-baf8-318c2bacb0dc,2026-03-11 00:18:35,Bien,Bien,Bien,,
ad93ba12-d513-4f5f-9657-89f57c812d8a,Atencion_Club,,,Male,28,Exit,97bc4955-0cdc-469a-baf8-318c2bacb0dc,2026-03-11 00:18:54,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Enter,ba79d331-f182-4a42-8a24-cf1c1bee4501,2026-03-11 00:24:50,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Exit,ba79d331-f182-4a42-8a24-cf1c1bee4501,2026-03-11 00:24:56,Bien,Bien,Bien,,
,Atencion_Club,,,,,,5f3e,0:26:53,Mal,,,Evento no registrado,TRACK_ID desaparece
unknown,Fila_Club,,,Male,45,Enter,8d2f15ce-52cf-4be8-b414-9b958b3ee4a2,2026-03-11 00:27:02,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,45,Exit,8d2f15ce-52cf-4be8-b414-9b958b3ee4a2,2026-03-11 00:27:15,Bien,Bien,Bien,,TRACK_ID desaparece
unknown,Atencion_Club,,,Male,45,Enter,b14439eb-0d94-43e7-990e-9fd9e30691e6,2026-03-11 00:27:33,Bien,Bien,Bien,,
