Camara,Tipo_sensor,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,Observation_B,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Exit,7ac2ec18-1876-4a15-ab0e-4c93c3d7bf5e,2026-02-18 17:19:45,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,19e6ed4b-b8af-4478-af32-df974ff8b0b0,2026-02-18 17:19:46,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Exit,19e6ed4b-b8af-4478-af32-df974ff8b0b0,2026-02-18 17:19:46,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,dfcf0fb9-2b44-4eb2-bc8f-64c00567f19e,2026-02-18 17:19:48,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Exit,dfcf0fb9-2b44-4eb2-bc8f-64c00567f19e,2026-02-18 17:19:48,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,213df134-8974-4e25-880f-8380e943db00,2026-02-18 17:20:56,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Exit,213df134-8974-4e25-880f-8380e943db00,2026-02-18 17:20:56,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Enter,e4fcf456-171c-45d7-bac4-fef14291308b,2026-02-18 17:21:14,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,e4fcf456-171c-45d7-bac4-fef14291308b,2026-02-18 17:21:14,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Female,0,Enter,a7b77809-ac6c-4f2a-8e51-272df7fa94ee,2026-02-18 17:21:16,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Female,0,Exit,a7b77809-ac6c-4f2a-8e51-272df7fa94ee,2026-02-18 17:21:16,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior 2,,,Enter,7f43,17:21:20,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,af55,17:21:42,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,b5b6,17:21:43,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Female,0,Enter,7fa08dfa-ec8b-4bb4-968b-40e675436e15,2026-02-18 17:21:49,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Female,0,Exit,7fa08dfa-ec8b-4bb4-968b-40e675436e15,2026-02-18 17:21:49,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Female,0,Enter,9b20922b-cde1-4944-b891-0619ee5a3220,2026-02-18 17:21:54,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Female,0,Exit,9b20922b-cde1-4944-b891-0619ee5a3220,2026-02-18 17:21:54,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Enter,ab9fcd04-a83b-4261-a99c-72e393418156,2026-02-18 17:21:57,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,ab9fcd04-a83b-4261-a99c-72e393418156,2026-02-18 17:21:57,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior 2,,,Enter,3f22,17:22:00,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,8c35,17:22:02,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,55dfb884-27dc-43fc-9962-57829d4fbea5,Entrada,Female,0,Enter,5cb11ff3-9c19-4329-8ee8-22999293d19b,2026-02-18 17:22:07,Bien,Bien,Mal,,,
1,Linea_conteo,55dfb884-27dc-43fc-9962-57829d4fbea5,Exterior L,Female,0,Enter,5cb11ff3-9c19-4329-8ee8-22999293d19b,2026-02-18 17:22:07,Bien,Bien,Mal,,,
1,Linea_conteo,55dfb884-27dc-43fc-9962-57829d4fbea5,Entrada,Female,0,Exit,5cb11ff3-9c19-4329-8ee8-22999293d19b,2026-02-18 17:22:30,Bien,Bien,Mal,,,
1,Linea_conteo,55dfb884-27dc-43fc-9962-57829d4fbea5,Exterior L,Female,0,Exit,5cb11ff3-9c19-4329-8ee8-22999293d19b,2026-02-18 17:22:30,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Enter,b319e75a-97f0-4fb1-9783-917aab51eaca,2026-02-18 17:22:34,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,b319e75a-97f0-4fb1-9783-917aab51eaca,2026-02-18 17:22:34,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,cdbbf5d2-816d-40c2-9c3b-5d25d5c602c0,2026-02-18 17:22:37,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Exit,cdbbf5d2-816d-40c2-9c3b-5d25d5c602c0,2026-02-18 17:22:37,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior 2,,,Enter,0b91,17:22:44,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,3278192f-5a76-4b3a-8a2f-dbabc4239505,2026-02-18 17:22:47,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Exit,3278192f-5a76-4b3a-8a2f-dbabc4239505,2026-02-18 17:22:47,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Enter,fedf780a-1608-4cd1-8c50-c0dee0b96eed,2026-02-18 17:23:00,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,fedf780a-1608-4cd1-8c50-c0dee0b96eed,2026-02-18 17:23:00,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior L,,,Enter,2b39,17:23:00,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,7e1f,17:23:05,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,3dad,17:23:14,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,5bcb,17:23:21,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Enter,db228c71-1cbe-4f15-ab7b-5252955404ba,2026-02-18 17:23:27,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,db228c71-1cbe-4f15-ab7b-5252955404ba,2026-02-18 17:23:28,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Female,0,Enter,db8759f9-0a9b-401b-8ed8-31237961d1c4,2026-02-18 17:23:28,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Female,0,Exit,db8759f9-0a9b-401b-8ed8-31237961d1c4,2026-02-18 17:23:29,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Enter,58f15836-541a-4960-befb-67797c880af7,2026-02-18 17:23:48,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,58f15836-541a-4960-befb-67797c880af7,2026-02-18 17:23:48,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,e9daed5f-cf8e-419f-aa25-a5a627efb4d0,2026-02-18 17:23:52,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Exit,e9daed5f-cf8e-419f-aa25-a5a627efb4d0,2026-02-18 17:23:52,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior 2,,,Enter,ee31,17:23:58,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,e1f5,17:24:06,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Enter,326432bc-f201-42a4-8418-695ffd861ef1,2026-02-18 17:24:17,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,326432bc-f201-42a4-8418-695ffd861ef1,2026-02-18 17:24:18,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior L,,,Enter,bc8c,17:24:19,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,1eb6,17:24:29,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Female,0,Enter,ae7ba926-c553-4ed2-bed1-acbedc14dbb0,2026-02-18 17:24:36,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Female,0,Exit,ae7ba926-c553-4ed2-bed1-acbedc14dbb0,2026-02-18 17:24:36,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior 2,,,Enter,7b50,17:24:58,Mal,,,,Evento no registrado,Solo registra conteo
