Camara,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,Observation_B,
1,,Exterior 2,,,Enter,c760,17:06:26,Mal,,,,Evento no registrado,Solo registra conteo
1,,Exterior 2,,,Enter,3fbb,17:15:56,Mal,,,,Evento no registrado,Solo registra conteo
1,,Exterior 2,,,Enter,9a1a,17:16:07,Mal,,,,Evento no registrado,Solo registra conteo
1,,Exterior 2,,,Enter,5f5b,17:16:21,Mal,,,,Evento no registrado,Solo registra conteo
1,,Exterior 2,,,Enter,2986,17:16:22,Mal,,,,Evento no registrado,No registra conteo
1,,Exterior 2,,,Enter,e8ec,17:17:21,Mal,,,,Evento no registrado,Solo registra conteo
1,,Exterior 2,,,Enter,16d0,17:17:37,Mal,,,,Evento no registrado,Solo registra conteo
1,,Exterior 2,,,Enter,e4e5,17:17:42,Mal,,,,Evento no registrado,Solo registra conteo
1,,Exterior 2,,,Enter,ef5b,17:18:05,Mal,,,,Evento no registrado,Solo registra conteo
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,7b041a17-81f1-4d30-a714-1e5120df9ce5,2026-02-18 17:18:28,Bien,Bien,Mal,,,
1,,Exterior 2,,,Enter,5c72,17:18:41,Mal,,,,Evento no registrado,Solo registra conteo
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,2a40dd9d-6f0e-4354-8499-894452f40840,2026-02-18 17:18:45,Bien,Bien,Mal,,,
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,a3ee6a31-5181-464f-84e6-b8e3888c4197,2026-02-18 17:18:46,Bien,Bien,Mal,,,
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,e7945890-760d-4abf-b04b-11eb9c4c06f6,2026-02-18 17:19:00,Bien,Mal,Mal,,,
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,b5d7351d-ff0b-4844-ae61-ea0bef1f9ef5,2026-02-18 17:19:05,Bien,Bien,Mal,,,
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,7ac2ec18-1876-4a15-ab0e-4c93c3d7bf5e,2026-02-18 17:19:45,Bien,Bien,Mal,,,
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,19e6ed4b-b8af-4478-af32-df974ff8b0b0,2026-02-18 17:19:46,Bien,Bien,Mal,,,
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,dfcf0fb9-2b44-4eb2-bc8f-64c00567f19e,2026-02-18 17:19:48,Bien,Bien,Mal,,,
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Enter,213df134-8974-4e25-880f-8380e943db00,2026-02-18 17:20:56,Bien,Bien,Mal,,,
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,e4fcf456-171c-45d7-bac4-fef14291308b,2026-02-18 17:21:14,Bien,Bien,Mal,,,
1,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Female,0,Exit,a7b77809-ac6c-4f2a-8e51-272df7fa94ee,2026-02-18 17:21:16,Bien,Bien,Mal,,,
1,,Exterior 2,,,Enter,7f43,17:21:20,Mal,,,,Evento no registrado,Solo registra conteo
1,,Exterior 2,,,Enter,af55,17:21:42,Mal,,,,Evento no registrado,Solo registra conteo
